area_code,area_name,pref_code,pref_name,sex,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0307,宮古,03,岩手県,female,1057,1192,1371,1337,981,1228,1398,1722,1930,2267,2336,2423,2803,3378,3622,3260,2994,2284,1221,385,62,17206,90,39341
0308,久慈,03,岩手県,male,742,1063,1176,1042,816,911,1079,1336,1540,1785,1790,1931,2074,2306,2218,1475,1239,774,303,60,3,8378,428,26091
0308,久慈,03,岩手県,female,746,929,1054,915,684,978,1107,1319,1516,1676,1782,1891,2162,2479,2277,1945,1968,1624,882,255,52,11482,225,28466
0309,二戸,03,岩手県,male,640,868,976,896,632,855,938,1175,1465,1517,1687,1813,2046,2465,2113,1466,1232,857,338,65,7,8543,86,24137
0309,二戸,03,岩手県,female,598,773,949,927,663,780,944,1072,1290,1471,1662,1670,2062,2453,2251,2001,2064,1722,954,261,40,11746,62,26669
0401,仙南,04,宮城県,male,2415,3086,3587,4102,3965,3337,4018,4843,5317,5606,4837,5072,6093,7124,6881,4558,3359,2216,920,205,28,25291,775,82344
0401,仙南,04,宮城県,female,2321,2878,3454,3698,3178,2821,3527,4479,4931,5290,4715,5084,6127,7238,6935,4954,4639,3947,2547,789,112,31161,521,84185
0403,仙台,04,宮城県,male,29368,33078,33807,38800,42788,38565,43133,48102,54191,60074,51486,45701,43172,45923,45127,31715,22038,13392,5238,967,106,164506,22945,749716
0403,仙台,04,宮城県,female,27624,31260,32251,36996,41052,39418,43748,49759,54505,59586,50669,46590,45358,49898,51102,38482,31594,24202,12893,3930,633,212734,19123,790673
0406,大崎・栗原,04,宮城県,male,3912,5006,5575,5856,4739,5172,6195,7848,8742,8546,7268,8387,9763,11662,10292,6267,5143,3718,1508,281,26,38897,806,126712
0406,大崎・栗原,04,宮城県,female,3817,4789,5397,5497,4168,4509,5662,7139,7932,7977,7068,8109,9889,11663,10423,7535,8284,7448,4211,1133,171,50868,457,133278
0409,石巻・登米・気仙沼,04,宮城県,male,4941,6109,6755,7389,6593,6868,7839,9280,10754,11316,10453,11083,12217,13793,13382,9097,7260,4614,1703,338,37,50224,2005,163826
0409,石巻・登米・気仙沼,04,宮城県,female,4756,5860,6382,6799,5863,5989,6823,8441,9889,10595,10071,11138,12246,14158,13825,11211,10737,8793,4913,1446,220,65303,1107,171262
0501,大館・鹿角,05,秋田県,male,1321,1629,2022,1958,1379,1825,2001,2580,3164,3316,2994,3502,3785,4308,4491,2902,2505,1683,619,100,16,16624,367,48467
0501,大館・鹿角,05,秋田県,female,1257,1591,1890,1783,1315,1536,1812,2373,2854,3173,3024,3553,3885,4648,4940,4289,4398,3556,1914,540,77,24362,230,54638
0502,北秋田,05,秋田県,male,337,441,517,467,378,519,575,713,875,935,964,1189,1262,1533,1501,1072,912,622,244,39,4,5927,44,15143
0502,北秋田,05,秋田県,female,318,415,526,478,307,375,478,589,809,823,895,1130,1338,1608,1679,1421,1575,1344,748,222,21,8618,19,17118
0503,能代・山本,05,秋田県,male,768,953,1347,1297,893,1066,1323,1732,2151,2274,2329,2454,2929,3368,3467,2276,1865,1369,470,69,5,12889,12,34417
0503,能代・山本,05,秋田県,female,768,958,1246,1239,793,955,1214,1580,1971,2305,2326,2605,3049,3664,3930,3339,3285,2921,1625,419,77,19260,9,40278
0504,秋田周辺,05,秋田県,male,5765,6884,7617,8112,7612,7280,8280,10145,12495,13697,11955,12111,12897,14738,14663,9628,7542,4800,1854,345,21,53591,3946,182387
0504,秋田周辺,05,秋田県,female,5446,6647,7146,7849,7108,7275,8529,10250,12372,13715,12608,13333,14192,16053,17308,12868,11805,9671,5418,1481,227,74831,2556,203857
0505,由利本荘・にかほ,05,秋田県,male,1311,1682,1954,2082,1914,1782,2109,2673,3017,3188,2860,3169,3653,4286,4249,2523,2200,1433,569,94,17,15371,295,47060
0505,由利本荘・にかほ,05,秋田県,female,1264,1606,1894,1810,1224,1391,1869,2397,2800,2989,2872,3305,3855,4621,4448,3454,3668,3064,1780,454,63,21552,254,51082
0506,大仙・仙北,05,秋田県,male,1552,1995,2299,2219,1603,1916,2466,3081,3783,3603,3362,3955,4684,5394,5240,3140,2877,2108,749,120,16,19644,234,56396
0506,大仙・仙北,05,秋田県,female,1509,1873,2288,2042,1397,1820,2314,3005,3503,3654,3417,4206,5040,5842,5654,4392,4830,4247,2399,670,93,28127,289,64484
0507,横手,05,秋田県,male,1135,1453,1772,1537,950,1345,1745,2338,2727,2611,2455,2744,3389,3839,3571,2396,2094,1445,541,103,13,14002,123,40326
0507,横手,05,秋田県,female,1157,1440,1575,1499,1004,1191,1700,2215,2482,2603,2464,2868,3555,4195,3913,2953,3214,2894,1707,476,47,19399,77,45229
0508,湯沢・雄勝,05,秋田県,male,692,929,1052,1040,703,911,1169,1518,1694,1853,1767,2177,2717,2842,2423,1685,1418,1028,449,87,8,9940,81,28243
0508,湯沢・雄勝,05,秋田県,female,671,808,953,927,612,768,1023,1309,1552,1758,1763,2152,2612,2913,2629,2161,2245,2062,1062,328,31,13431,38,30377
0601,村山,06,山形県,male,9429,10778,11850,12364,10559,11030,12938,15422,17423,17598,15858,16241,17653,19662,19713,13490,10683,7239,3097,577,49,74510,3719,257372
0601,村山,06,山形県,female,8761,10356,10974,11875,10569,10643,12549,14931,16825,17612,16011,16949,18408,20417,20145,15781,14829,13176,8132,2528,351,95359,2661,274483
0602,最上,06,山形県,male,1032,1310,1467,1558,1002,1285,1540,1825,2120,2113,1988,2491,2938,3209,2942,1839,1554,1094,456,92,13,11199,157,34025
0602,最上,06,山形県,female,999,1281,1413,1367,832,1105,1510,1676,1999,2057,2066,2538,3066,3331,2871,2317,2469,2181,1317,358,46,14890,98,36897
0603,置賜,06,山形県,male,3203,3866,4360,4431,5101,4078,4709,5503,6306,6657,6139,6686,7301,8239,7815,5237,4233,2859,1138,225,29,29775,943,99058
0603,置賜,06,山形県,female,2999,3702,4195,4461,3508,3498,4350,5179,5712,6285,6019,6446,7184,8379,7721,6217,6342,5533,3490,1123,173,38978,272,102788
0604,庄内,06,山形県,male,3989,4792,5515,5807,4444,4976,5819,6774,8187,8700,7947,8631,9550,11082,10608,6957,5600,3812,1543,279,23,39904,948,125983
0604,庄内,06,山形県,female,3886,4618,5311,5009,3716,4389,5415,6501,7625,8515,8104,8771,9852,11300,11484,9137,9143,7846,4601,1236,192,54939,770,137421
0701,県北,07,福島県,male,7504,8735,9743,10882,9969,10074,11298,12848,14950,16500,14658,15168,15913,17962,17455,11820,8791,5820,2474,485,49,64856,4746,227844
0701,県北,07,福島県,female,7381,8336,9228,10255,9001,9238,10609,12207,13937,16085,14571,14939,16123,18587,18086,14485,12640,10721,6320,1892,250,82981,3159,238050
0702,県中,07,福島県,male,9232,10710,11407,12838,11663,12157,13665,15673,17252,18552,16310,17188,18485,19305,17747,11650,8276,5466,2200,410,35,65089,6246,256467
0702,県中,07,福島県,female,9038,10108,10854,11431,9954,11203,12899,14584,16601,17469,16206,17096,18534,19840,18391,13657,12635,10630,6128,1702,286,83269,3864,263110
0703,県南,07,福島県,male,2434,2930,3133,3314,2877,3277,3715,4354,4689,4770,4183,4585,5301,5752,4975,3250,2436,1609,716,109,14,18861,813,69236
0703,県南,07,福島県,female,2341,2861,3052,2991,2399,2614,3290,3937,4139,4228,3935,4353,5302,5600,5014,3670,3524,3277,1896,517,67,23565,527,69534
0706,相双,07,福島県,male,1732,1920,2085,2195,2153,2950,3089,3411,3904,4586,4295,4475,5065,5323,5058,3047,2425,1519,640,127,20,18159,3519,63538
0706,相双,07,福島県,female,1676,1834,1994,2069,1663,2028,2188,2638,3026,3328,3104,3515,4307,5039,4837,3633,3354,2955,1671,463,84,22036,633,56039
0707,いわき,07,福島県,male,5801,6610,7102,7434,6378,7664,8320,9202,10884,12149,11074,10999,11427,12867,11884,8506,5909,3568,1409,229,25,44397,4084,163525
0707,いわき,07,福島県,female,5550,6170,6746,6993,5689,6736,7523,8663,9889,11227,10328,10833,11308,13103,12911,10366,9069,7226,3936,1136,175,57922,3829,169406
0708,会津・南会津,07,福島県,male,3987,4884,5419,5506,4408,4960,5853,6605,7504,7899,7426,8617,9804,11002,10040,6613,5584,3832,1584,361,36,39052,1330,123254
0708,会津・南会津,07,福島県,female,3923,4602,5090,5272,3845,4538,5480,6217,6967,7507,7503,8674,9709,10951,10041,8408,8783,7870,4764,1553,268,52638,1184,133149
0801,水戸,08,茨城県,male,8367,9237,10129,10810,9920,10624,12103,13578,15164,17756,15433,14189,14312,15658,15740,11454,8119,4921,1962,386,47,58287,5267,225176
0801,水戸,08,茨城県,female,7939,8848,9399,10009,9326,9669,11397,12990,14624,16725,15094,14523,14470,16478,17141,13605,10925,8691,5045,1613,263,73761,3991,232765
0802,日立,08,茨城県,male,3362,4214,4995,5887,5802,5597,5852,6488,7177,9370,8914,8275,7865,9221,9026,7930,5990,2955,1032,215,24,36393,1499,121690
0802,日立,08,茨城県,female,3270,4015,4783,5305,4437,4424,4843,5566,6631,8999,8233,7758,7934,9451,10270,9044,7188,4820,2595,858,141,44367,1753,122318
0803,常陸太田・ひたちなか,08,茨城県,male,5894,6973,7911,7993,6690,8129,9131,9885,11440,13901,12598,11755,11502,12742,12435,9992,7284,4198,1798,330,32,48811,2756,175369
0803,常陸太田・ひたちなか,08,茨城県,female,5519,6734,7390,7744,6192,6592,7982,9182,10548,12989,11955,11128,11473,12799,13491,10978,8900,7010,4140,1298,219,58835,1947,176210
0804,鹿行,08,茨城県,male,4725,5396,5911,6190,6608,7522,7959,8554,9155,10571,8962,8210,8924,10556,10474,7208,4699,2547,853,159,11,36507,1666,136860
0804,鹿行,08,茨城県,female,4527,5236,5731,5629,4864,5544,6269,7524,8086,9328,8198,8034,8579,10282,10664,7727,6043,4527,2501,696,88,42528,1209,131286
0805,土浦,08,茨城県,male,3981,4876,5365,6150,6186,6380,6596,7272,8453,10168,8858,7960,7602,9076,9564,7193,4899,2802,1007,182,23,34746,2850,127443
0805,土浦,08,茨城県,female,3783,4417,5007,5770,5561,5229,5713,6480,7762,9200,8274,7771,7782,9347,10360,8330,6408,4784,2697,852,130,42908,2122,127779
0806,つくば,08,茨城県,male,7712,8838,8612,8655,10593,9058,10036,11639,12946,13672,11355,9616,8819,9345,10247,7159,4478,2520,943,161,13,34866,9986,176403
0806,つくば,08,茨城県,female,7432,8309,8034,7880,9080,8195,9613,11298,12201,12907,10352,8981,8837,10097,10728,7718,5663,4379,2717,857,140,42299,10541,175959
0807,取手・竜ヶ崎,08,茨城県,male,7576,9271,10104,10818,10391,9852,11198,13425,16039,18975,15796,13797,13575,16486,18862,14383,8716,4004,1528,276,24,64279,3050,228146
0807,取手・竜ヶ崎,08,茨城県,female,7171,8738,9765,10208,9788,8919,10075,12623,15074,17497,14823,13914,14104,17905,20576,15616,10496,7136,3769,1098,194,76790,2146,231635
0808,筑西・下妻,08,茨城県,male,3960,5060,5668,5984,5585,5964,6480,7426,8847,9995,8490,7791,8900,10349,9915,6679,4529,2754,1089,214,21,35550,1521,127221
0808,筑西・下妻,08,茨城県,female,3767,4722,5316,5650,4797,4700,5494,6641,7883,8853,7949,7740,8723,10564,10420,7511,6133,4924,3137,937,141,43767,844,126846
0809,古河・坂東,08,茨城県,male,3663,4427,4909,5291,5512,5712,6184,6862,7787,9015,7821,7099,7487,8594,8641,5842,3923,1935,783,126,19,29863,1036,112668
0809,古河・坂東,08,茨城県,female,3643,4296,4814,5174,4724,4687,5157,6107,6779,8093,7064,6938,7397,8813,8935,6608,4888,3517,1922,591,76,35350,1012,111235
0901,県北,09,栃木県,male,6193,7426,8031,8699,7531,8717,9865,11277,12860,13932,11627,11348,12736,14813,14319,9012,6377,3929,1635,323,33,50441,2782,183465
0901,県北,09,栃木県,female,5640,6919,7683,8287,7258,7098,8344,9852,11425,12732,11093,10982,12425,14694,14451,10070,8522,7171,4467,1392,222,60989,2412,183139
0902,県西,09,栃木県,male,2649,3147,3798,3613,3376,3774,4073,4670,5334,6488,5841,5765,6150,6890,6994,4681,3357,2013,814,163,15,24927,827,84432
0902,県西,09,栃木県,female,2488,2931,3412,3662,3258,3281,3683,4270,5130,6019,5630,5615,5963,7006,7337,5606,4660,3742,2230,723,123,31427,493,87262
0903,宇都宮,09,栃木県,male,10126,11352,11842,11709,12089,14198,15167,17119,19315,21738,18221,15839,14395,15327,16401,11690,7529,4339,1649,316,31,57282,9224,259616
0903,宇都宮,09,栃木県,female,9729,10850,11354,11094,10324,11655,13561,15813,17984,20186,17278,15078,14394,16446,18256,13951,10356,7958,4177,1223,204,72571,7270,259141
0904,県東,09,栃木県,male,2418,2963,3250,3237,2860,3055,3773,4314,4900,5283,4336,4312,5003,5798,5594,3231,2335,1473,544,119,8,19102,716,69522
0904,県東,09,栃木県,female,2250,2879,3104,2968,2397,2572,3295,3962,4389,4888,4040,4196,4927,5824,5376,3466,2989,2522,1564,523,62,22326,487,68680
0905,県南,09,栃木県,male,8710,10016,10931,11587,11372,11980,13145,14632,16545,19331,15892,14630,15171,17439,17088,11846,7736,4252,1604,333,24,60322,4732,238996
0905,県南,09,栃木県,female,7935,9346,9994,11015,10508,10192,11773,13440,15310,17531,15356,14287,15554,17471,17944,13376,10110,7372,4515,1379,183,72350,3328,237919
0906,両毛,09,栃木県,male,4070,4775,5534,5983,5590,5837,6458,7516,8530,10306,9061,8445,8300,9513,10567,7423,4907,2876,1056,204,14,36560,1934,128899
0906,両毛,09,栃木県,female,3816,4697,5295,5750,4875,5018,5851,6726,8000,9386,8678,8196,8307,9933,11262,8813,6968,5330,2767,873,138,46084,1396,132075
1001,前橋,10,群馬県,male,5551,6407,6933,7667,7022,6915,7758,8841,10036,12123,10561,9732,9548,10778,11488,8532,5952,3596,1537,286,30,42199,11005,162298
1001,前橋,10,群馬県,female,5368,5999,6506,7251,6908,6935,7450,8387,9785,11876,10804,10118,9844,11348,12820,10256,8191,6504,3753,1117,202,54191,8429,169851
1002,渋川,10,群馬県,male,1886,2155,2461,2487,2278,2359,2753,3132,3794,4079,3483,3508,3658,4408,4335,2978,2119,1282,526,98,7,15753,380,54166
1002,渋川,10,群馬県,female,1806,2223,2310,2475,2169,2175,2512,2939,3525,3865,3549,3465,3626,4428,4534,3490,2921,2325,1318,419,84,19519,265,56423
1003,伊勢崎,10,群馬県,male,4803,5284,5803,6518,6407,6716,6877,7538,8916,10182,8792,7798,7145,7479,7961,5660,3643,2227,865,146,19,28000,3165,123944
1003,伊勢崎,10,群馬県,female,4574,5208,5611,5985,5853,5929,6228,7100,8391,9483,8462,7456,6808,7808,8568,6411,4954,3678,2100,660,114,34293,2579,123960
1004,高崎・安中,10,群馬県,male,7767,8789,9873,10373,9674,9779,10774,12126,14501,17148,14944,13036,12151,13715,15398,11372,7583,4517,1944,411,44,54984,3575,209494
