iryoken2_code,iryoken2_name,pref_name,n_specialists
1304,区西部,東京都,85
1305,区西北部,東京都,31
1306,区東北部,東京都,11
1307,区東部,東京都,16
1308,西多摩,東京都,2
1309,南多摩,東京都,9
1310,北多摩西部,東京都,4
1311,北多摩南部,東京都,16
1312,北多摩北部,東京都,13
1313,島しょ,東京都,0
1404,川崎北部,神奈川県,16
1405,川崎南部,神奈川県,14
1406,横須賀・三浦,神奈川県,4
1407,湘南東部,神奈川県,5
1408,湘南西部,神奈川県,7
1409,県央,神奈川県,1
1410,相模原,神奈川県,8
1411,県西,神奈川県,1
1412,横浜,神奈川県,42
1501,下越,新潟県,2
1502,新潟,新潟県,22
1503,県央,新潟県,1
1504,中越,新潟県,1
1505,魚沼,新潟県,0
1506,上越,新潟県,1
1507,佐渡,新潟県,0
1601,新川,富山県,2
1602,富山,富山県,6
1603,高岡,富山県,0
1604,砺波,富山県,1
1701,南加賀,石川県,1
1702,石川中央,石川県,9
1703,能登中部,石川県,2
1704,能登北部,石川県,0
1801,福井・坂井,福井県,8
1802,奥越,福井県,0
1803,丹南,福井県,1
1804,嶺南,福井県,2
1901,中北,山梨県,2
1902,峡東,山梨県,0
1903,峡南,山梨県,0
1904,富士・東部,山梨県,0
2001,佐久,長野県,4
2002,上小,長野県,2
2003,諏訪,長野県,2
2004,上伊那,長野県,1
2005,飯伊,長野県,3
2006,木曽,長野県,0
2007,松本,長野県,12
2008,大北,長野県,2
2009,長野,長野県,3
2010,北信,長野県,1
2101,岐阜,岐阜県,10
2102,西濃,岐阜県,3
2103,中濃,岐阜県,1
2104,東濃,岐阜県,3
2105,飛騨,岐阜県,2
2201,賀茂,静岡県,0
2202,熱海伊東,静岡県,0
2203,駿東田方,静岡県,5
2204,富士,静岡県,1
2205,静岡,静岡県,9
2206,志太榛原,静岡県,4
2207,中東遠,静岡県,6
2208,西部,静岡県,12
2302,海部,愛知県,2
2304,尾張東部,愛知県,10
2305,尾張西部,愛知県,4
2306,尾張北部,愛知県,6
2307,知多半島,愛知県,6
2308,西三河北部,愛知県,4
2309,西三河南部西,愛知県,5
2310,西三河南部東,愛知県,2
2311,東三河北部,愛知県,0
2312,東三河南部,愛知県,8
2313,名古屋・尾張中部,愛知県,33
2405,桑員,三重県,1
2406,三泗,三重県,2
2407,鈴亀,三重県,5
2408,津,三重県,9
2409,伊賀,三重県,1
2410,松阪,三重県,1
2411,伊勢志摩,三重県,6
2412,東紀州,三重県,0
2501,大津,滋賀県,2
2502,湖南,滋賀県,6
2503,甲賀,滋賀県,0
2504,東近江,滋賀県,0
2505,湖東,滋賀県,0
2506,湖北,滋賀県,1
2507,湖西,滋賀県,0
2601,丹後,京都府,0
2602,中丹,京都府,0
2603,南丹,京都府,0
2604,京都・乙訓,京都府,46
2605,山城北,京都府,1
2606,山城南,京都府,0
2701,豊能,大阪府,16
2702,三島,大阪府,5
2703,北河内,大阪府,11
2704,中河内,大阪府,4
2705,南河内,大阪府,7
2706,堺市,大阪府,3
2707,泉州,大阪府,4
2708,大阪市,大阪府,36
2801,神戸,兵庫県,25
2804,東播磨,兵庫県,7
2805,北播磨,兵庫県,2
2808,但馬,兵庫県,0
2809,丹波,兵庫県,1
2810,淡路,兵庫県,1
2811,阪神,兵庫県,7
2812,播磨姫路,兵庫県,7
2901,奈良,奈良県,4
2902,東和,奈良県,1
2903,西和,奈良県,9
2904,中和,奈良県,14
2905,南和,奈良県,2
3001,和歌山,和歌山県,10
3002,那賀,和歌山県,2
3003,橋本,和歌山県,1
3004,有田,和歌山県,0
3005,御坊,和歌山県,0
3006,田辺,和歌山県,0
3007,新宮,和歌山県,0
3101,東部,鳥取県,3
3102,中部,鳥取県,0
3103,西部,鳥取県,4
3201,松江,島根県,3
3202,雲南,島根県,0
3203,出雲,島根県,5
3204,大田,島根県,0
3205,浜田,島根県,1
3206,益田,島根県,0
3207,隠岐,島根県,0
3301,県南東部,岡山県,14
3302,県南西部,岡山県,14
3303,高梁・新見,岡山県,0
3304,真庭,岡山県,0
3305,津山・英田,岡山県,2
3401,広島,広島県,17
3402,広島西,広島県,0
3403,呉,広島県,0
3404,広島中央,広島県,0
3405,尾三,広島県,1
3406,福山・府中,広島県,4
3407,備北,広島県,0
3501,岩国,山口県,0
3502,柳井,山口県,0
3503,周南,山口県,2
3504,山口・防府,山口県,2
3505,宇部・小野田,山口県,3
3506,下関,山口県,3
3507,長門,山口県,0
3508,萩,山口県,0
3601,東部,徳島県,10
3603,南部,徳島県,1
3605,西部,徳島県,0
3702,小豆,香川県,0
3706,東部,香川県,8
3707,西部,香川県,4
3801,宇摩,愛媛県,0
3802,新居浜・西条,愛媛県,1
3803,今治,愛媛県,1
3804,松山,愛媛県,18
3805,八幡浜・大洲,愛媛県,1
3806,宇和島,愛媛県,0
3901,安芸,高知県,0
3902,中央,高知県,8
3903,高幡,高知県,1
3904,幡多,高知県,0
4001,福岡・糸島,福岡県,56
4002,粕屋,福岡県,2
4003,宗像,福岡県,0
4004,筑紫,福岡県,6
4005,朝倉,福岡県,2
4006,久留米,福岡県,23
4007,八女・筑後,福岡県,0
4008,有明,福岡県,2
4009,飯塚,福岡県,5
4010,直方・鞍手,福岡県,1
4011,田川,福岡県,3
4012,北九州,福岡県,27
4013,京築,福岡県,1
4101,中部,佐賀県,9
4102,東部,佐賀県,3
4103,北部,佐賀県,1
4104,西部,佐賀県,0
4105,南部,佐賀県,1
4201,長崎,長崎県,41
4202,佐世保県北,長崎県,9
4203,県央,長崎県,10
4204,県南,長崎県,3
4206,五島,長崎県,1
4207,上五島,長崎県,0
4208,壱岐,長崎県,0
4209,対馬,長崎県,0
4302,宇城,熊本県,0
4303,有明,熊本県,0
4304,鹿本,熊本県,0
4305,菊池,熊本県,4
4306,阿蘇,熊本県,0
4308,八代,熊本県,0
