area_code,area_name,pref_code,pref_name,population_2020,source,retrieved_on,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85_89,pop_90_94,pop_95_99,pop_100plus,pop_65plus,pop_age_unknown,pop_total_census
0803,常陸太田・ひたちなか,08,茨城県,351579,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,11413,13707,15301,15737,12882,14721,17113,19067,21988,26890,24553,22883,22975,25541,25926,20970,16184,11208,5938,1628,251,107646,4703,351579
0804,鹿行,08,茨城県,268146,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,9252,10632,11642,11819,11472,13066,14228,16078,17241,19899,17160,16244,17503,20838,21138,14935,10742,7074,3354,855,99,79035,2875,268146
0805,土浦,08,茨城県,255222,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7764,9293,10372,11920,11747,11609,12309,13752,16215,19368,17132,15731,15384,18423,19924,15523,11307,7586,3704,1034,153,77654,4972,255222
0806,つくば,08,茨城県,352362,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,15144,17147,16646,16535,19673,17253,19649,22937,25147,26579,21707,18597,17656,19442,20975,14877,10141,6899,3660,1018,153,77165,20527,352362
0807,取手・竜ヶ崎,08,茨城県,459781,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,14747,18009,19869,21026,20179,18771,21273,26048,31113,36472,30619,27711,27679,34391,39438,29999,19212,11140,5297,1374,218,141069,5196,459781
0808,筑西・下妻,08,茨城県,254067,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7727,9782,10984,11634,10382,10664,11974,14067,16730,18848,16439,15531,17623,20913,20335,14190,10662,7678,4226,1151,162,79317,2365,254067
0809,古河・坂東,08,茨城県,223903,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,7306,8723,9723,10465,10236,10399,11341,12969,14566,17108,14885,14037,14884,17407,17576,12450,8811,5452,2705,717,95,65213,2048,223903
0901,県北,09,栃木県,366604,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,11833,14345,15714,16986,14789,15815,18209,21129,24285,26664,22720,22330,25161,29507,28770,19082,14899,11100,6102,1715,255,111430,5194,366604
0902,県西,09,栃木県,171694,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,5137,6078,7210,7275,6634,7055,7756,8940,10464,12507,11471,11380,12113,13896,14331,10287,8017,5755,3044,886,138,56354,1320,171694
0903,宇都宮,09,栃木県,518757,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000080850_00014.html,2026-08-04,19855,22202,23196,22803,22413,25853,28728,32932,37299,41924,35499,30917,28789,31773,34657,25641,17885,12297,5826,1539,235,129853,16494,518757
